RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2025-06-30,2025-08-31,2026-05-31
395241,881,"Yankton, SD",msa,SD,2025-05-31,0.5,-0.2,-2.0
395198,882,"Wahpeton, ND",msa,ND,2025-05-31,0.0,-0.5,-2.5
394818,883,"Magnolia, AR",msa,AR,2025-05-31,-1.1,-2.7,-8.5
394564,884,"Elk City, OK",msa,OK,2025-05-31,0.3,-0.2,-1.9
394793,885,"Liberal, KS",msa,KS,2025-05-31,-0.3,-1.2,-3.3
395239,885,"Worthington, MN",msa,MN,2025-05-31,-0.1,-0.9,-1.1
394945,887,"Oskaloosa, IA",msa,IA,2025-05-31,0.1,-0.3,-0.5
394959,888,"Pampa, TX",msa,TX,2025-05-31,-1.1,-2.7,-5.8
394470,889,"Clarksdale, MS",msa,MS,2025-05-31,-3.1,-7.3,-13.6
395130,890,"Sterling, CO",msa,CO,2025-05-31,0.1,-0.1,-0.7
394371,891,"Beatrice, NE",msa,NE,2025-05-31,0.2,0.1,0.8
394718,892,"Jamestown, ND",msa,ND,2025-05-31,-0.3,-1.6,-5.7
394784,893,"Levelland, TX",msa,TX,2025-05-31,-0.5,-1.5,-5.8
394656,894,"Grenada, MS",msa,MS,2025-05-31,2.0,2.5,0.3
394837,895,"Maryville, MO",msa,MO,2025-05-31,-0.3,-0.8,-1.3
394337,896,"Arkadelphia, AR",msa,AR,2025-05-31,-0.2,-0.9,-1.9
394544,897,"Dumas, TX",msa,TX,2025-05-31,0.2,-0.7,-4.4
394659,898,"Guymon, OK",msa,OK,2025-05-31,-0.1,-0.2,-1.6
394403,899,"Borger, TX",msa,TX,2025-05-31,-1.4,-2.8,-6.2
394979,900,"Pierre, SD",msa,SD,2025-05-31,-0.2,-0.7,-1.6
394700,901,"Huron, SD",msa,SD,2025-05-31,0.4,-0.8,-3.4
395135,903,"Storm Lake, IA",msa,IA,2025-05-31,0.1,-0.1,-0.7
394498,905,"Cordele, GA",msa,GA,2025-05-31,-1.1,-1.6,-2.0
394578,906,"Evanston, WY",msa,WY,2025-05-31,0.4,0.6,1.8
395014,907,"Raymondville, TX",msa,TX,2025-05-31,-2.1,-4.9,-12.1
753914,908,"Port Lavaca, TX",msa,TX,2025-05-31,-0.6,-1.4,-4.5
753908,909,"Othello, WA",msa,WA,2025-05-31,0.2,0.1,1.3
753925,910,"Vineyard Haven, MA",msa,MA,2025-05-31,-0.1,-0.1,1.9
394965,911,"Parsons, KS",msa,KS,2025-05-31,-0.5,-1.1,-1.4
395003,912,"Price, UT",msa,UT,2025-05-31,0.7,0.8,3.4
394996,915,"Portales, NM",msa,NM,2025-05-31,-0.8,-2.7,-7.3
394805,916,"Los Alamos, NM",msa,NM,2025-05-31,0.1,0.1,0.6
394678,918,"Hereford, TX",msa,TX,2025-05-31,-0.7,-1.7,-2.4
394330,920,"Andrews, TX",msa,TX,2025-05-31,0.3,-0.4,-4.3
395112,922,"Spirit Lake, IA",msa,IA,2025-05-31,-0.1,-0.3,-0.5
394594,923,"Fitzgerald, GA",msa,GA,2025-05-31,0.3,0.8,2.3
753927,924,"Winnemucca, NV",msa,NV,2025-05-31,0.2,0.5,1.0
394841,925,"Maysville, KY",msa,KY,2025-05-31,0.3,0.4,3.0
395104,926,"Snyder, TX",msa,TX,2025-05-31,-0.7,-1.8,-5.5
394676,927,"Helena, AR",msa,AR,2025-05-31,-1.0,-2.1,-10.2
395111,928,"Spencer, IA",msa,IA,2025-05-31,0.1,-0.2,-1.1
394342,929,"Atchison, KS",msa,KS,2025-05-31,0.1,0.2,1.3
753880,930,"Fairfield, IA",msa,IA,2025-05-31,0.0,-0.4,-2.0
395186,932,"Vermillion, SD",msa,SD,2025-05-31,0.4,0.5,1.6
395142,933,"Sweetwater, TX",msa,TX,2025-05-31,-0.9,-2.3,-9.3
394968,934,"Pecos, TX",msa,TX,2025-05-31,-1.5,-3.8,-14.2
753929,935,"Zapata, TX",msa,TX,2025-05-31,-1.8,-3.5,-10.3
394743,936,"Ketchikan, AK",msa,AK,2025-05-31,0.5,-0.4,-3.9
753874,937,"Craig, CO",msa,CO,2025-05-31,0.4,0.6,1.8
395188,938,"Vernon, TX",msa,TX,2025-05-31,-0.9,-2.5,-7.7
394767,939,"Lamesa, TX",msa,TX,2025-05-31,-0.3,-1.9,-8.0
